,📅 JANEIRO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,,🟥1 B,🟥2 B,🟩3 A,🟩4 A
,🟩5 A,🟥6 B,🟥7 B,🟥8 B,🟩9 A,🟩10 A,🟩11 A
,🟥12 B,🟥13 B,🟥14 B,🟩15 A,🟩16 A,🟩17 A,🟥18 B
,🟥19 B,🟥20 B,🟩21 A,🟩22 A,🟩23 A,🟥24 B,🟥25 B
,🟥26 B,🟩27 A,🟩28 A,🟩29 A,🟥30 B,🟥31 B,
,,,,,,,
,📅 FEVEREIRO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,,,,,🟥1 B
,🟩2 A,🟩3 A,🟩4 A,🟥5 B,🟥6 B,🟥7 B,🟩8 A
,🟩9 A,🟩10 A,🟥11 B,🟥12 B,🟥13 B,🟩14 A,🟩15 A
,🟩16 A,🟥17 B,🟥18 B,🟥19 B,🟩20 A,🟩21 A,🟩22 A
,🟥23 B,🟥24 B,🟥25 B,🟩26 A,🟩27 A,🟩28 A,
,📅 MARÇO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,,,,,🟥1 B
,🟥2 B,🟥3 B,🟩4 A,🟩5 A,🟩6 A,🟥7 B,🟥8 B
,🟥9 B,🟩10 A,🟩11 A,🟩12 A,🟥13 B,🟥14 B,🟥15 B
,🟩16 A,🟩17 A,🟩18 A,🟥19 B,🟥20 B,🟥21 B,🟩22 A
,🟩23 A,🟩24 A,🟥25 B,🟥26 B,🟥27 B,🟩28 A,🟩29 A
,🟩30 A,🟥31 B,,,,,
,📅 ABRIL 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,🟥1 B,🟥2 B,🟩3 A,🟩4 A,🟩5 A
,🟥6 B,🟥7 B,🟥8 B,🟩9 A,🟩10 A,🟩11 A,🟥12 B
,🟥13 B,🟥14 B,🟩15 A,🟩16 A,🟩17 A,🟥18 B,🟥19 B
,🟥20 B,🟩 21 A,🟩22 A,🟩23 A,🟥24 B,🟥25 B,🟥26 B
,🟩27 A,🟩28 A,🟩29 A,🟥30 B,,,
,AKI,,,,,,
,📅 MAIO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,,,🟥1 B,🟥2 B,🟩3 A
,🟩4 A,🟩5 A,🟥6 B,🟥7 B,🟥8 B,🟩9 A,🟩10 A
,🟩11 A,🟥12 B,🟥13 B,🟥14 B,🟩15 A,🟩16 A,🟩17 A
,🟥18 B,🟥19 B,🟥20 B,🟩21 A,🟩22 A,🟩23 A,🟥24 B
,🟥25 B,🟥26 B,🟩27 A,🟩28 A,🟩29 A,🟥30 B,🟥31 B
,,,,,,,
,📅 JUNHO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,🟥1 B,🟩2 A,🟩3 A,🟩4 A,🟥5 B,🟥6 B,🟥7 B
,🟩8 A,🟩9 A,🟩10 A,🟥11 B,🟥12 B,🟥13 B,🟩14 A
,🟩15 A,🟩16 A,🟥17 B,🟥18 B,🟥19 B,🟩20 A,🟩21 A
,🟩22 A,🟥23 B,🟥24 B,🟥25 B,🟩26 A,🟩27 A,🟩28 A
,🟥29 B,🟥30 B,,,,,
,,,,,,,
,📅 JULHO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,🟥1 B,🟩2 A,🟩3 A,🟩4 A,🟥5 B
,🟥6 B,🟥7 B,🟩8 A,🟩9 A,🟩10 A,🟥11 B,🟥12 B
,🟥13 B,🟩14 A,🟩15 A,🟩16 A,🟥17 B,🟥18 B,🟥19 B
,🟩20 A,🟩21 A,🟩22 A,🟥23 B,🟥24 B,🟥25 B,🟩26 A
,🟩27 A,🟩28 A,🟥29 B,🟥30 B,🟥31 B,,
,,,,,,,
,📅 AGOSTO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,,,,🟩1 A,🟩2 A
,🟩3 A,🟥4 B,🟥5 B,🟥6 B,🟩7 A,🟩8 A,🟩9 A
,🟥10 B,🟥11 B,🟥12 B,🟩13 A,🟩14 A,🟩15 A,🟥16 B
,🟥17 B,🟥18 B,🟩19 A,🟩20 A,🟩21 A,🟥22 B,🟥23 B
,🟥24 B,🟩25 A,🟩26 A,🟩27 A,🟥28 B,🟥29 B,🟥30 B
,🟩31 A,,,,,,
,📅 SETEMBRO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,🟩1 A,🟩2 A,🟥3 B,🟥4 B,🟥5 B,🟩6 A
,🟩7 A,🟩8 A,🟥9 B,🟥10 B,🟥11 B,🟩12 A,🟩13 A
,🟩14 A,🟥15 B,🟥16 B,🟥17 B,🟩18 A,🟩19 A,🟩20 A
,🟥21 B,🟥22 B,🟥23 B,🟩24 A,🟩25 A,🟩26 A,🟥27 B
,🟥28 B,🟥29 B,🟩30 A,,,,
,,,,,,,
,📅 OUTUBRO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,,🟩1 A,🟩2 A,🟥3 B,🟥4 B
,🟥5 B,🟩6 A,🟩7 A,🟩8 A,🟥9 B,🟥10 B,🟥11 B
,🟩12 A,🟩13 A,🟩14 A,🟥15 B,🟥16 B,🟥17 B,🟩18 A
,🟩19 A,🟩20 A,🟥21 B,🟥22 B,🟥23 B,🟩24 A,🟩25 A
,🟩26 A,🟥27 B,🟥28 B,🟥29 B,🟩30 A,🟩 31 A,
,,,,,,,
,📅 NOVEMBRO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,,,,,,🟩1 A
,🟥2 B,🟥3 B,🟥4 B,🟩5 A,🟩6 A,🟩7 A,🟥8 B
,🟥9 B,🟥10 B,🟩11 A,🟩12 A,🟩13 A,🟥14 B,🟥15 B
,🟥16 B,🟩17 A,🟩18 A,🟩19 A,🟥20 B,🟥21 B,🟥22 B
,🟩23 A,🟩24 A,🟩25 A,🟥26 B,🟥27 B,🟥28 B,🟩29 B
,🟩30 A,,,,,,
,📅 DEZEMBRO 2025 – Escala 3x3,,,,,,
,Dom,Seg,Ter,Qua,Qui,Sex,Sáb
,,🟩1 A,🟥2 B,🟥3 B,🟥4 B,🟩5 A,🟩6 A
,🟩7 A,🟥8 B,🟥9 B,🟥10 B,🟩11 A,🟩12 A,🟩13 A
,🟥14 B,🟥15 B,🟥16 B,🟩17 A,🟩18 A,🟩19 A,🟥20 B
,🟥21 B,🟥22 B,🟩23 A,🟩24 A,🟩25 A,🟥26 B,🟥27 B
,🟥28 B,🟩29 A,🟩30 A,🟩31 A,,,